"Country or Area","Year","Item","Value"
"United States","1985","Agriculture, hunting, forestry, fishing (ISIC A-B)","70882477436"
"United States","1985","Mining, Manufacturing, Utilities (ISIC C-E)","1036021452420"
"United States","1985","Manufacturing (ISIC D)","804266619137"
"United States","1985","Construction (ISIC F)","188062873910"
"United States","1985","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","690807117665"
"United States","1985","Transport, storage and communication (ISIC I)","409500309994"
"United States","1985","Other Activities (ISIC J-P)","1924710697754"
"United States","1985","Total Value Added","4319984929179"
"United States","1984","Agriculture, hunting, forestry, fishing (ISIC A-B)","70304855385"
"United States","1984","Mining, Manufacturing, Utilities (ISIC C-E)","1009408815857"
"United States","1984","Manufacturing (ISIC D)","781111531745"
"United States","1984","Construction (ISIC F)","167634318917"
"United States","1984","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","639099998080"
"United States","1984","Transport, storage and communication (ISIC I)","386354640298"
"United States","1984","Other Activities (ISIC J-P)","1755867923886"
"United States","1984","Total Value Added","4028670552422"
"United States","1983","Agriculture, hunting, forestry, fishing (ISIC A-B)","52976193846"
"United States","1983","Mining, Manufacturing, Utilities (ISIC C-E)","903482148425"
"United States","1983","Manufacturing (ISIC D)","690776877501"
"United States","1983","Construction (ISIC F)","140997085445"
"United States","1983","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","564050807367"
"United States","1983","Transport, storage and communication (ISIC I)","353983074291"
"United States","1983","Other Activities (ISIC J-P)","1589183713547"
"United States","1983","Total Value Added","3604673022921"
"United States","1982","Agriculture, hunting, forestry, fishing (ISIC A-B)","65188774359"
"United States","1982","Mining, Manufacturing, Utilities (ISIC C-E)","866791075356"
"United States","1982","Manufacturing (ISIC D)","650926276454"
"United States","1982","Construction (ISIC F)","132084627629"
"United States","1982","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","521109275673"
"United States","1982","Transport, storage and communication (ISIC I)","322258939604"
"United States","1982","Other Activities (ISIC J-P)","1445101667676"
"United States","1982","Total Value Added","3352534360297"
"United States","1981","Agriculture, hunting, forestry, fishing (ISIC A-B)","68406954359"
"United States","1981","Mining, Manufacturing, Utilities (ISIC C-E)","861193022999"
"United States","1981","Manufacturing (ISIC D)","653410727891"
"United States","1981","Construction (ISIC F)","131784207703"
"United States","1981","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","498259653303"
"United States","1981","Transport, storage and communication (ISIC I)","310928891501"
"United States","1981","Other Activities (ISIC J-P)","1325756137736"
"United States","1981","Total Value Added","3196328867601"

